Week,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
37,3.9031,4.1139,5.1139,4.0212,3.9243,4.9542,4.6812,4.0607,3.9777,4.4065,4.4742,4.2355,3.9777,4.2355,4.4533,4.6345,4.301
38,3.8195,4.0719,5.1903,3.9494,3.9345,4.8976,4.6435,3.959,3.9912,4.4281,4.3909,4.2355,3.9777,4.2355,4.4609,4.6345,4.301
39,3.7482,3.9777,5.1072,3.8261,3.9243,4.7559,4.3979,4.0682,3.8513,4.4942,4.4116,4.0253,3.9823,4.238,4.4609,4.5328,4.281
40,3.4914,3.8451,4.9823,3.8388,3.7924,4.5441,4.4065,4.0086,3.6532,4.4014,4.415,3.9542,3.9777,4.2355,4.415,4.356,4.281
41,3.2788,3.8921,4.5441,3.6435,3.5798,4.4314,4.3802,3.8751,3.4314,4.3222,4.4065,3.8865,3.9345,4.2227,4.3118,4.3522,4.2095
42,2.9542,3.7924,4.301,3.6435,3.301,4.3222,4.1903,3.5798,3.2788,4.0719,4.356,3.8325,3.9294,4.0253,4.2405,4.2625,4.1761
43,3,3.7324,4.2553,3.4314,3.2175,4.4472,4.1139,3.5315,3.2304,3.9542,4.179,3.7404,3.8195,3.8451,4.248,4.1523,3.8976
44,2.9542,3.5911,4.2304,3.3617,3.243,4.4843,3.9294,3.4914,3.5051,3.8573,3.9823,3.7482,3.8261,3.7782,4.2304,4,3.7993
45,2.8451,3.4914,4.243,3.3617,3.1303,4.3222,4.0212,3.5185,3.7404,3.8573,3.8388,3.7482,3.8325,3.8195,4.4082,3.9912,3.6435
46,2.6021,3.4624,4.2304,3.3424,2.9294,4.3522,3.9294,3.6812,3.7782,3.9777,3.8261,3.7482,3.8195,3.8195,4.415,4.0128,3.6532
47,3.1461,3.3222,4.1761,3.301,2.8751,4.1303,3.9031,3.6335,3.7559,4.0492,3.8261,3.6128,3.8195,3.7324,4.3979,3.9912,3.6435
48,3.1303,3.3222,4.0969,3.1461,2.8451,4.1903,3.6532,3.6232,3.5911,4.0682,3.8388,3.6128,3.7709,3.6021,4.415,3.7709,3.6532
49,3.3324,3.2553,3.7782,3,2.699,4.0212,3.6021,3.2672,3.5441,3.8921,3.5911,3.6021,3.4914,3.6021,4.3655,3.7709,3.4314
50,3.0792,3.0414,3.7404,3.0414,2.6532,3.9542,3.6021,3.2553,3.3979,3.7782,3.6128,3.6128,3.4914,3.6128,3.8325,3.7924,3.415
51,3.29,3.0792,3.699,3,2.6532,3.9294,3.5441,3.2041,3.4771,3.6532,3.6128,3.6021,3.3617,3.6021,3.8261,3.7709,3.415
52,3.3711,3.1139,4.0414,2.9542,2.699,4.0212,3.4771,3.1761,3.4314,3.5441,3.5911,3.6021,3.3424,3.6128,3.8261,3.7924,3.415
1,3.3892,3.2304,4.1139,2.8451,2.8451,4.0607,3.3979,3.1761,3.415,3.6128,3.6128,3.4314,3.3424,3.6021,3.8261,3.7709,3.415
2,3.3892,3.2175,4.1461,2.9031,3.0792,4.1614,3.699,3.3222,3.4472,3.6128,3.5911,3.4314,3.4624,3.6021,3.8261,3.7709,3.4314
3,3.301,3.1903,4.1461,2.8751,3.2041,4.0792,3.9031,3.3424,3.5051,3.6128,3.6128,3.3802,3.5051,3.6021,3.9345,3.7924,3.3979
4,3.2672,3.1614,3.8451,2.8451,3.3222,3.9294,3.9542,3.415,3.4771,3.4472,3.5911,3.3617,3.4914,3.6021,3.9731,3.7924,3.4314
5,3.1461,3.1139,3.6021,2.8129,3.2788,3.9031,3.8129,3.4624,3.3979,3.301,3.6128,3.3802,3.4914,3.6021,3.9731,3.7924,3.415
6,3.0607,3.1461,3.3979,2.7782,3.2553,3.8129,3.6021,3.3802,3.2041,3.2041,3.5911,3.3617,3.699,3.6021,3.9731,3.7709,3.4314
7,3.0969,3.0792,3.2553,2.7404,3.0414,3.7404,3.5441,3.4232,3.0414,3.2553,3.6128,3.3802,3.699,3.5563,3.9685,3.7709,3.415
8,3.1614,3.0414,3.3979,2.7782,2.9777,4.0607,3.6021,3.2672,3,3.2788,3.6128,3.3617,3.699,3.4472,3.8325,3.7709,3.415
9,3.1303,2.9542,3.301,2.8129,2.9294,4.0212,3.7782,3.2788,2.9542,3.2788,3.5911,3.3617,3.6232,3.4314,3.8261,3.7709,3.301
10,3.1461,2.9031,3.4771,2.8129,2.8751,4.1139,3.8129,3,2.9542,3.301,3.6128,3.3617,3.5911,3.5682,3.8261,3.7709,3.415
