Week,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
37,0,0,0,0,0,2.9542,0,0,0,0,0,3.1303,2.8751,0,2.3979,0,2.699
38,0,0,0,0,0,0,0,0,0,0,0,3.2304,2.9294,1.7782,0,0,2.699
39,0,0,0,0,0,0,0,0,0,0,0,3.415,3.0414,2,2.3979,0,2.699
40,0,0,0,0,0,0,0,0,0,0,0,3.4698,3.2553,2,2.3979,0,2.6532
41,0,0,0,0,0,2.9542,0,0,0,0,0,3.4771,3.3324,2,2.6532,0,2.5441
42,0,0,0,0,0,2.9542,0,0,0,0,2.1761,3.4771,3.4393,1.7782,2.6532,0,2.4771
43,0,0,0,0,0,2.9542,0,0,0,0,0,3.4624,3.4771,1.7782,2.6532,0,2.4771
44,0,0,0,0,0,0,0,0,0,0,2.1761,3.5185,3.4983,2,2.9777,0,2.5441
45,0,0,0,0,0,3.2553,0,0,0,0,0,3.5966,3.5119,2.3979,2.9777,0,2.5441
46,0,0,0,2.1761,0,3.2553,0,0,2.301,0,2.8751,3.6284,3.658,2.6532,2.8451,2.8451,2.699
47,0,0,3.2553,3.0414,0,3.4232,0,2.9294,2.9777,0,3.0792,3.658,3.6721,2.8751,3.4914,2.8451,2.7404
48,0,1.8451,3.2553,3.0792,0,3.5502,0,2.9294,3.1303,0,3.1303,3.6628,3.6721,2.8751,3.5185,3.0212,2.8451
49,2,2.7404,2.9542,3.0212,0,3.7924,0,3.29,3.2672,0,3.0212,3.6484,3.6435,2.8751,3.8062,2.8451,2.9031
50,2,2.8129,4.1255,3.1761,0,3.8513,0,3.4771,3.2672,2.5441,3.2553,3.658,3.3324,2.9294,4.0273,3.1461,3.1139
51,2.301,3.1903,4.3294,3.0212,2.8751,3.9031,0,3.3979,3.2304,3.2175,3.5119,3.6628,3.4065,3.1903,4.081,3.4548,3.4065
52,2.7782,3.3711,4.5723,3.3711,3.0969,3.9494,0,3.3802,3.301,3.4698,3.6484,3.7404,3.6435,3.3979,4.1222,3.5911,3.4914
1,2.8129,3.716,4.5821,3.6532,3.2175,4.1523,0,3.1614,3.3324,3.7443,3.9112,3.8096,3.7818,3.7404,4.3233,3.9661,3.6435
2,2.9777,3.8722,4.6972,3.7076,3.4472,4.5172,0,2.8751,3.5502,3.8573,4.1139,3.9058,4.1106,3.8513,4.404,4.2492,3.7745
3,3.2672,3.8722,4.9172,3.8195,3.4624,4.7197,4.1523,3.7559,3.8028,3.8921,4.1477,3.9058,4.1303,3.9345,4.4116,4.3701,3.9661
4,3.5911,3.8722,5.0245,3.8325,3.6075,4.9489,4.2504,3.7709,3.8129,3.8921,4.1833,3.9518,4.1303,3.9395,4.4116,4.3701,4.0334
5,3.6284,3.8692,5.017,3.8513,3.6675,5.0019,4.2504,3.9243,3.9138,3.9112,4.1833,3.9518,4.0492,3.9395,4.3953,4.437,4.0531
6,3.6284,3.9058,4.9172,3.8513,3.9934,5.0352,3.7924,3.9243,3.942,4.0607,4.143,3.9345,3.6232,3.9085,4.4983,4.5955,4.0531
7,3.3892,3.9058,5.0422,3.7284,4.0191,5.0352,4.4257,4.0607,3.8028,4.3646,4.281,3.9217,3.9004,3.8692,4.4983,4.7084,4.0531
8,3.4393,3.7924,4.9659,3.7672,4.0881,5.0019,4.8519,4.0881,3.6335,4.3646,4.3493,3.7634,3.9004,3.8543,4.4778,4.7084,4.0273
9,3.3892,3.752,5.028,3.8751,4.0107,4.9701,4.9701,4.0881,3.2175,4.3434,4.3493,3.6812,3.8325,3.8543,4.4676,4.6964,3.989
10,3.3522,3.7745,4.7878,3.937,3.9395,4.8573,4.9445,4.0846,3.1903,4.317,4.3284,3.5441,3.6435,3.8162,4.3032,4.5328,3.8779
